,drugbank_id,name,min dosage strength value,min dosage strength unit,max dosage strength value,max dosage strength unit,route,form,group,kinase inhibitor category,cas,smiles,ALOGPS solubility value,ALOGPS solubility unit
17,DB00142,Glutamic Acid,325.0,mg,325.0,mg,Oral,Capsule,"['approved', 'nutraceutical']",False,56-86-0,N[C@@H](CCC(O)=O)C(O)=O,80.6,g/l
18,DB00145,Glycine,1.5,g/100mL,15.0,mg,Irrigation,Solution,"['approved', 'nutraceutical', 'vet_approved']",False,56-40-6,NCC(O)=O,552.0,g/l
19,DB00146,Calcidiol,30.0,ug/1,30.0,ug/1,Oral,"Capsule, extended release","['approved', 'nutraceutical']",False,19356-17-3,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,0.0022,g/l
20,DB00150,L-Tryptophan,1.0,g,750.0,mg,Oral,Tablet,"['approved', 'nutraceutical', 'withdrawn']",False,73-22-3,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,1.36,g/l
21,DB00151,L-Cysteine,50.0,mg,50.0,mg,Intravenous,Liquid,"['approved', 'nutraceutical']",False,52-90-4,N[C@@H](CS)C(O)=O,23.1,g/l
22,DB00152,Thiamine,0.05,mg,500.0,mg,Oral,Liquid,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",False,70-16-6,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,0.0153,g/l
23,DB00153,Ergocalciferol,1.25,mg/1,50000.0,unit,Oral,Capsule,"['approved', 'nutraceutical']",False,50-14-6,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,0.000433,g/l
24,DB00158,Folic Acid,0.4,mg,800.0,mcg,Oral,Tablet,"['approved', 'nutraceutical', 'vet_approved']",False,59-30-3,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,0.0761,g/l
25,DB00162,Vitamin A,0.57,g/19g,50000.0,unit,Topical,Patch,"['approved', 'nutraceutical', 'vet_approved']",False,68-26-8,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,0.00758,g/l
26,DB00163,Vitamin E,0.06,g/2g,1000.0,unit,Topical,Patch,"['approved', 'nutraceutical', 'vet_approved']",False,59-02-9,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,7.04e-06,g/l
27,DB00165,Pyridoxine,2.0,mg,500.0,mg,Oral,Tablet,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",False,65-23-6,CC1=C(O)C(CO)=C(CO)C=N1,16.1,g/l
28,DB00169,Cholecalciferol,100.0,unit,100000.0,unit,Oral,Wafer,"['approved', 'nutraceutical']",False,67-97-0,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,0.00038,g/l
29,DB00175,Pravastatin,10.0,mg,80.0,mg/1,Oral,Tablet,['approved'],False,81093-37-0,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,0.242,g/l
30,DB00176,Fluvoxamine,25.0,mg/1,150.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,54739-18-3,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,0.00734,g/l
31,DB00177,Valsartan,4.0,mg/mL,320.0,mg/1,Oral,Solution,"['approved', 'investigational']",False,137862-53-4,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,0.0234,g/l
32,DB00178,Ramipril,1.25,mg,15.0,mg,Oral,Capsule,['approved'],False,87333-19-5,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,0.039,g/l
33,DB00180,Flunisolide,0.025,%,250.0,mcg,Nasal,Spray,"['approved', 'investigational']",False,3385-03-3,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,0.0374,g/l
34,DB00181,Baclofen,0.05,mg,2000.0,ug/mL,Intrathecal,Solution,['approved'],False,1134-47-0,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,0.712,g/l
35,DB00182,Amphetamine,1.25,mg/mL,18.8,mg/1,Oral,"Suspension, extended release","['approved', 'illicit', 'investigational']",False,300-62-9,CC(N)CC1=CC=CC=C1,1.74,g/l
36,DB00183,Pentagastrin,0.25,mg,250.0,ug/1.6mL,Intramuscular; Intravenous; Subcutaneous,Liquid,['approved'],False,5534-95-2,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,0.00261,g/l
37,DB00184,Nicotine,1.0,L/L,114.0,mg,Oral,Liquid,['approved'],False,54-11-5,CN1CCC[C@H]1C1=CN=CC=C1,93.3,g/l
38,DB00185,Cevimeline,30.0,mg/1,30.0,mg/1,Oral,Capsule,['approved'],False,107233-08-9,CC1O[C@@]2(CS1)CN1CCC2CC1,2.41,g/l
39,DB00186,Lorazepam,0.5,mg,4.0,mg/mL,Oral,Tablet,['approved'],False,846-49-1,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,0.0176,g/l
40,DB00187,Esmolol,10.0,mg/mL,250.0,mg,Intravenous,Injection,['approved'],False,81147-92-4,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,0.144,g/l
41,DB00188,Bortezomib,1.0,mg/mL,3.5,mg,Intravenous,"Injection, powder, lyophilized, for solution","['approved', 'investigational']",False,179324-69-7,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,0.0532,g/l
42,DB00189,Ethchlorvynol,200.0,mg,750.0,mg,Oral,Capsule,"['approved', 'illicit', 'withdrawn']",False,113-18-8,[H]C(Cl)=CC(O)(CC)C#C,0.143,g/l
43,DB00190,Carbidopa,10.0,mg/1,25.0,mg/1,Oral,Tablet,['approved'],False,28860-95-9,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,3.73,g/l
44,DB00191,Phentermine,8.0,mg/1,37.5,mg/1,Oral,Tablet,"['approved', 'illicit']",False,122-09-8,CC(C)(N)CC1=CC=CC=C1,0.757,g/l
45,DB00193,Tramadol,50.0,mg/1,400.0,mg,Oral,Tablet,"['approved', 'investigational']",False,27203-92-5,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,0.75,g/l
46,DB00195,Betaxolol,0.25,%,20.0,mg/1,Ophthalmic,Suspension,"['approved', 'investigational']",False,63659-18-7,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,0.0298,g/l
47,DB00196,Fluconazole,2.0,mg/mL,1400.0,mg/35mL,Intravenous,Injection,"['approved', 'investigational']",False,86386-73-4,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,1.39,g/l
48,DB00198,Oseltamivir,6.0,mg/mL,75.0,mg/1,Oral,"Powder, for suspension",['approved'],False,196618-13-0,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,0.686,g/l
49,DB00199,Erythromycin,0.5,%,600.0,mg,Ophthalmic,Ointment,"['approved', 'investigational', 'vet_approved']",False,114-07-8,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.459,g/l
50,DB00200,Hydroxocobalamin,1.0,mg,1000.0,ug/mL,Intramuscular,Liquid,['approved'],False,13422-51-0,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H],,
51,DB00201,Caffeine,5.0,mg/1000mL,200.0,1/1,Topical,Cream,['approved'],False,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,11.0,g/l
52,DB00202,Succinylcholine,20.0,mg/mL,500.0,mg,Intramuscular; Intravenous; Parenteral,"Injection, solution",['approved'],False,306-40-1,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0.000757,g/l
53,DB00203,Sildenafil,0.8,mg/mL,100.0,mg,Intravenous,"Injection, solution","['approved', 'investigational']",False,139755-83-2,CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1,0.433,g/l
54,DB00204,Dofetilide,0.125,mg/1,0.5,mg/1,Oral,Capsule,"['approved', 'investigational']",False,115256-11-6,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,0.0198,g/l
55,DB00205,Pyrimethamine,25.0,mg/1,25.0,mg/1,Oral,Tablet,"['approved', 'investigational', 'vet_approved']",False,58-14-0,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,0.179,g/l
56,DB00206,Reserpine,0.1,mg/1,0.25,mg,Oral,Tablet,"['approved', 'investigational']",False,50-55-5,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,0.0113,g/l
57,DB00207,Azithromycin,1.0,g/1,1200.0,mg/30mL,Oral,"Powder, for suspension",['approved'],False,83905-01-5,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,0.514,g/l
58,DB00208,Ticlopidine,250.0,mg,250.0,mg,Oral,Tablet,['approved'],False,55142-85-3,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,0.0219,g/l
59,DB00209,Trospium,20.0,mg,60.0,mg,Oral,Tablet,['approved'],False,47608-32-2,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,6.68e-05,g/l
60,DB00210,Adapalene,0.1,g/100g,45.0,g/g,Topical,Gel,['approved'],False,106685-40-9,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,4.01e-06,g/l
61,DB00211,Midodrine,2.5,mg,10.0,mg/1,Oral,Tablet,['approved'],False,42794-76-3,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,4.45,g/l
62,DB00213,Pantoprazole,20.0,mg,40.0,mg,Oral,"Tablet, delayed release",['approved'],False,102625-70-7,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,0.495,g/l
63,DB00214,Torasemide,5.0,mg/1,100.0,mg/1,Oral,Tablet,['approved'],False,56211-40-6,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,0.0596,g/l
64,DB00215,Citalopram,10.0,mg,40.0,mg/1,Oral,Tablet,['approved'],False,59729-33-8,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,0.00588,g/l
65,DB00216,Eletriptan,20.0,mg,40.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,143322-58-1,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,0.00118,g/l
66,DB00218,Moxifloxacin,0.5,%,400.0,mg/1,Ophthalmic,Solution,"['approved', 'investigational']",False,151096-09-2,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,0.168,g/l
67,DB00220,Nelfinavir,50.0,mg/g,625.0,mg/1,Oral,Powder,['approved'],False,159989-64-7,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,0.00191,g/l
68,DB00222,Glimepiride,1.0,mg,8.0,mg/1,Oral,Tablet,['approved'],False,93479-97-1,[H][C@]1(C)CC[C@@]([H])(CC1)N=C(O)NS(=O)(=O)C1=CC=C(CCN=C(O)N2CC(C)=C(CC)C2=O)C=C1,0.0347,g/l
69,DB00223,Diflorasone,0.05,%,5.0,mg/g,Topical,Cream,['approved'],False,2557-49-5,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,0.0853,g/l
70,DB00224,Indinavir,200.0,mg/1,400.0,mg/1,Oral,Capsule,['approved'],False,150378-17-9,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,0.0482,g/l
71,DB00225,Gadodiamide,287.0,mg,287.0,mg,Intravenous,Solution,"['approved', 'investigational']",False,131410-48-5,O=C1[O-][Gd+3]234567[O]=C(C[N]2(CC[N]3(CC([O-]4)=O)CC[N]5(CC(=[O]6)NC)CC(=O)[O-]7)C1)NC,,
72,DB00227,Lovastatin,10.0,mg/1,60.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,75330-75-5,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,0.0243,g/l
73,DB00228,Enflurane,99.9,%,100.0,%,Respiratory (inhalation),Liquid,"['approved', 'investigational', 'vet_approved']",False,13838-16-9,FC(F)OC(F)(F)C(F)Cl,3.9,g/l
74,DB00230,Pregabalin,20.0,mg/mL,330.0,mg/1,Oral,Solution,"['approved', 'illicit', 'investigational']",False,148553-50-8,CC(C)C[C@H](CN)CC(O)=O,11.3,g/l
75,DB00231,Temazepam,7.5,mg/1,30.0,mg/1,Oral,Capsule,"['approved', 'investigational']",False,846-50-4,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,0.0534,g/l
76,DB00232,Methyclothiazide,5.0,mg,5.0,mg,Oral,Tablet,['approved'],False,135-07-9,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,0.824,g/l
77,DB00233,Aminosalicylic Acid,4.0,g,500.0,mg,Oral,"Granule, delayed release",['approved'],False,65-49-6,NC1=CC(O)=C(C=C1)C(O)=O,11.8,g/l
78,DB00235,Milrinone,0.2,mg/mL,200.0,ug/mL,Intravenous,"Injection, solution",['approved'],False,78415-72-2,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,0.209,g/l
79,DB00237,Butabarbital,15.0,mg,100.0,mg,Oral,Tablet,"['approved', 'illicit']",False,125-40-6,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1.39,g/l
80,DB00238,Nevirapine,50.0,mg/5mL,400.0,mg,Oral,Suspension,['approved'],False,129618-40-2,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,0.105,g/l
81,DB00239,Oxiconazole,1.0,%,30.0,mg/g,Topical,Cream,['approved'],False,64211-45-6,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,0.00191,g/l
82,DB00240,Alclometasone,0.5,mg/g,0.5,mg/g,Topical,Cream,['approved'],False,67452-97-5,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,0.137,g/l
83,DB00242,Cladribine,1.0,mg/mL,10.0,mg,Intravenous,Injection,"['approved', 'investigational']",False,4291-63-8,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,6.35,g/l
84,DB00243,Ranolazine,500.0,mg/1,1000.0,mg/1,Oral,"Tablet, film coated, extended release","['approved', 'investigational']",False,95635-55-5,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0.11,g/l
85,DB00244,Mesalazine,1.0,g,1000.0,mg/1,Rectal,Suppository,['approved'],False,89-57-6,NC1=CC(C(O)=O)=C(O)C=C1,12.2,g/l
86,DB00245,Benzatropine,0.5,mg/1,2.0,mg,Oral,Tablet,['approved'],False,86-13-5,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,0.00121,g/l
87,DB00246,Ziprasidone,20.0,mg,80.0,mg/1,Oral,Capsule,['approved'],False,146939-27-7,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,0.00718,g/l
88,DB00247,Methysergide,2.0,mg,2.0,mg,Oral,Tablet,['approved'],False,361-37-5,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO,0.224,g/l
89,DB00248,Cabergoline,0.5,mg,0.5,mg,Oral,Tablet,['approved'],False,81409-90-7,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,0.064,g/l
90,DB00249,Idoxuridine,0.1,%,0.1,%,Ophthalmic,Solution / drops,"['approved', 'investigational']",False,54-42-2,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,23.4,g/l
91,DB00250,Dapsone,5.0,%,100.0,mg/1,Topical,Gel,"['approved', 'investigational']",False,80-08-0,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,0.284,g/l
92,DB00251,Terconazole,0.4,%,80.0,mg/1,Vaginal,Cream,['approved'],False,67915-31-5,CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,0.0116,g/l
93,DB00252,Phenytoin,30.0,mg/1,300.0,mg/1,Oral,"Capsule, extended release","['approved', 'vet_approved']",False,57-41-0,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,0.0711,g/l
94,DB00253,Medrysone,1.0,%,1.0,%,Ophthalmic,Solution / drops,['approved'],False,2668-66-8,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,0.0337,g/l
95,DB00254,Doxycycline,8.8,%,200.0,mg/20mL,Oral,,"['approved', 'investigational', 'vet_approved']",False,564-25-0,[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,0.63,g/l
96,DB00255,Diethylstilbestrol,0.1,mg,250.0,mg,Oral,Tablet,"['approved', 'investigational']",False,56-53-1,CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,0.0109,g/l
97,DB00257,Clotrimazole,0.01,g/g,500.0,mg,Topical,Cream,"['approved', 'vet_approved']",False,23593-75-1,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,0.00147,g/l
