,drugbank_id,name,min dosage strength value,min dosage strength unit,max dosage strength value,max dosage strength unit,route,form,group,kinase inhibitor category,cas,smiles,ALOGPS solubility value,ALOGPS solubility unit
22,DB00204,Dofetilide,0.125,mg/1,0.5,mg/1,Oral,Capsule,"['approved', 'investigational']",False,115256-11-6,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,0.0198,g/l
23,DB00205,Pyrimethamine,25.0,mg/1,25.0,mg/1,Oral,Tablet,"['approved', 'investigational', 'vet_approved']",False,58-14-0,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,0.179,g/l
24,DB00206,Reserpine,0.1,mg/1,0.25,mg,Oral,Tablet,"['approved', 'investigational']",False,50-55-5,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,0.0113,g/l
25,DB00191,Phentermine,8.0,mg/1,37.5,mg/1,Oral,Tablet,"['approved', 'illicit']",False,122-09-8,CC(C)(N)CC1=CC=CC=C1,0.757,g/l
26,DB00208,Ticlopidine,250.0,mg,250.0,mg,Oral,Tablet,['approved'],False,55142-85-3,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,0.0219,g/l
28,DB00211,Midodrine,2.5,mg,10.0,mg/1,Oral,Tablet,['approved'],False,42794-76-3,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,4.45,g/l
29,DB00213,Pantoprazole,20.0,mg,40.0,mg,Oral,"Tablet, delayed release",['approved'],False,102625-70-7,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,0.495,g/l
30,DB00214,Torasemide,5.0,mg/1,100.0,mg/1,Oral,Tablet,['approved'],False,56211-40-6,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,0.0596,g/l
31,DB00215,Citalopram,10.0,mg,40.0,mg/1,Oral,Tablet,['approved'],False,59729-33-8,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,0.00588,g/l
32,DB00216,Eletriptan,20.0,mg,40.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,143322-58-1,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,0.00118,g/l
33,DB00222,Glimepiride,1.0,mg,8.0,mg/1,Oral,Tablet,['approved'],False,93479-97-1,[H][C@]1(C)CC[C@@]([H])(CC1)N=C(O)NS(=O)(=O)C1=CC=C(CCN=C(O)N2CC(C)=C(CC)C2=O)C=C1,0.0347,g/l
34,DB00224,Indinavir,200.0,mg/1,400.0,mg/1,Oral,Capsule,['approved'],False,150378-17-9,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,0.0482,g/l
35,DB00227,Lovastatin,10.0,mg/1,60.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,75330-75-5,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,0.0243,g/l
36,DB00231,Temazepam,7.5,mg/1,30.0,mg/1,Oral,Capsule,"['approved', 'investigational']",False,846-50-4,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,0.0534,g/l
37,DB00232,Methyclothiazide,5.0,mg,5.0,mg,Oral,Tablet,['approved'],False,135-07-9,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,0.824,g/l
38,DB00233,Aminosalicylic Acid,4000.0,mg,500.0,mg,Oral,"Granule, delayed release",['approved'],False,65-49-6,NC1=CC(O)=C(C=C1)C(O)=O,11.8,g/l
40,DB00243,Ranolazine,500.0,mg/1,1000.0,mg/1,Oral,"Tablet, film coated, extended release","['approved', 'investigational']",False,95635-55-5,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,0.11,g/l
41,DB00245,Benzatropine,0.5,mg/1,2.0,mg,Oral,Tablet,['approved'],False,86-13-5,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,0.00121,g/l
42,DB00246,Ziprasidone,20.0,mg,80.0,mg/1,Oral,Capsule,['approved'],False,146939-27-7,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,0.00718,g/l
44,DB00248,Cabergoline,0.5,mg,0.5,mg,Oral,Tablet,['approved'],False,81409-90-7,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,0.064,g/l
45,DB00252,Phenytoin,30.0,mg/1,300.0,mg/1,Oral,"Capsule, extended release","['approved', 'vet_approved']",False,57-41-0,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,0.0711,g/l
46,DB00255,Diethylstilbestrol,0.1,mg,250.0,mg,Oral,Tablet,"['approved', 'investigational']",False,56-53-1,CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,0.0109,g/l
47,DB00258,Calcium Acetate,667.0,mg/1,667.0,mg/1,Oral,Capsule,"['approved', 'investigational']",False,62-54-4,[Ca++].CC([O-])=O.CC([O-])=O,147.0,g/l
49,DB00263,Sulfisoxazole,500.0,mg,500.0,mg,Oral,Tablet,"['approved', 'vet_approved']",False,127-69-5,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,0.313,g/l
50,DB00268,Ropinirole,0.25,mg,12.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,91374-21-9,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,0.353,g/l
51,DB00270,Isradipine,2.5,mg/1,5.0,mg/1,Oral,Capsule,"['approved', 'investigational']",False,75695-93-1,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C,0.228,g/l
52,DB00273,Topiramate,15.0,mg/1,200.0,mg,Oral,"Capsule, coated pellets",['approved'],False,97240-79-4,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,6.8,g/l
53,DB00275,Olmesartan,5.0,mg/1,40.0,mg,Oral,Tablet,"['approved', 'investigational']",False,144689-24-7,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,0.0105,g/l
54,DB00277,Theophylline,50.0,mg,600.0,mg/1,Oral,"Capsule, extended release",['approved'],False,58-55-9,CN1C2=C(NC=N2)C(=O)N(C)C1=O,22.9,g/l
56,DB00280,Disopyramide,100.0,mg/1,250.0,mg,Oral,Capsule,['approved'],False,3737-09-5,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C,0.0493,g/l
57,DB00284,Acarbose,25.0,mg/1,100.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,56180-94-0,[H][C@@](O)(CO)[C@@]([H])(O[C@@]1([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]2([H])O[C@]([H])(C)[C@@]([H])(N[C@@]3([H])C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O)[C@]([H])(O)[C@@]([H])(O)C=O,108.0,g/l
59,DB00289,Atomoxetine,10.0,mg,100.0,mg/1,Oral,Capsule,['approved'],False,83015-26-3,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,0.0039,g/l
60,DB00291,Chlorambucil,2.0,mg/1,2.0,mg/1,Oral,"Tablet, film coated",['approved'],False,305-03-3,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,0.0773,g/l
61,DB00301,Flucloxacillin,125.0,mg,500.0,mg,Oral,"Powder, for solution","['approved', 'investigational']",False,5250-39-5,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(F)C=CC=C1Cl)C(O)=O,0.0545,g/l
62,DB00310,Chlorthalidone,15.0,mg/1,100.0,mg,Oral,Tablet,['approved'],False,77-36-1,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12,0.0528,g/l
63,DB00313,Valproic Acid,50.0,mg,500.0,mg/1,Oral,Syrup,"['approved', 'investigational']",False,99-66-1,CCCC(CCC)C(O)=O,2.36,g/l
64,DB00315,Zolmitriptan,1.0,mg,5.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,139264-17-8,CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12,0.19,g/l
65,DB00317,Gefitinib,250.0,mg,250.0,mg,Oral,Tablet,"['approved', 'investigational']",True,184475-35-2,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,0.027,g/l
66,DB00318,Codeine,5.0,mg,300.0,mg/1,Oral,Syrup,"['approved', 'illicit']",False,76-57-3,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,0.577,g/l
67,DB00321,Amitriptyline,2.0,mg,150.0,mg/1,Oral,Syrup,['approved'],False,50-48-6,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,0.0045,g/l
69,DB00330,Ethambutol,100.0,mg/1,400.0,mg/1,Oral,"Tablet, film coated",['approved'],False,74-55-5,CC[C@@H](CO)NCCN[C@@H](CC)CO,7.58,g/l
70,DB00331,Metformin,500.0,mg,1000.0,mg/1,Oral,Tablet,['approved'],False,657-24-9,CN(C)C(=N)NC(N)=N,1.38,g/l
71,DB00333,Methadone,1.0,mg,40.0,mg/1,Oral,Tablet,['approved'],False,76-99-3,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,0.0059,g/l
72,DB00334,Olanzapine,2.5,mg/1,405.0,mg,Oral,Tablet,"['approved', 'investigational']",False,132539-06-1,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2,0.0942,g/l
74,DB00338,Omeprazole,2.5,mg/1,40.0,mg/1,Oral,"Granule, delayed release","['approved', 'investigational', 'vet_approved']",False,73590-58-6,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,0.359,g/l
75,DB00339,Pyrazinamide,500.0,mg,500.0,mg,Oral,Tablet,"['approved', 'investigational']",False,98-96-4,NC(=O)C1=NC=CN=C1,93.7,g/l
76,DB00342,Terfenadine,6.0,mg,120.0,mg,Oral,Suspension,"['approved', 'withdrawn']",False,50679-08-8,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,0.000458,g/l
77,DB00344,Protriptyline,5.0,mg/1,10.0,mg/1,Oral,"Tablet, film coated",['approved'],False,438-60-8,CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,0.000231,g/l
79,DB00347,Trimethadione,150.0,mg/1,150.0,mg/1,Oral,"Tablet, chewable",['approved'],False,127-48-0,CN1C(=O)OC(C)(C)C1=O,212.0,g/l
80,DB00348,Nitisinone,2.0,mg,20.0,mg,Oral,Capsule,"['approved', 'investigational']",False,104206-65-7,[O-][N+](=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1C(=O)CCCC1=O,0.00811,g/l
81,DB00321,Amitriptyline,2.0,mg,150.0,mg/1,Oral,Syrup,['approved'],False,50-48-6,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,0.0045,g/l
82,DB00352,Tioguanine,40.0,mg,40.0,mg,Oral,Tablet,['approved'],False,154-42-7,NC1=NC(=S)C2=C(N1)N=CN2,0.834,g/l
83,DB00353,Methylergometrine,0.2,mg/1,0.2,mg/1,Oral,"Tablet, coated",['approved'],False,113-42-8,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO,0.204,g/l
84,DB00356,Chlorzoxazone,250.0,mg/1,750.0,mg/1,Oral,Tablet,['approved'],False,95-25-0,ClC1=CC2=C(OC(=O)N2)C=C1,2.96,g/l
85,DB00357,Aminoglutethimide,250.0,mg,250.0,mg,Oral,Tablet,"['approved', 'investigational']",False,125-84-8,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1,0.371,g/l
86,DB00358,Mefloquine,250.0,mg,250.0,mg,Oral,Tablet,"['approved', 'investigational']",False,53230-10-7,OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,0.038,g/l
87,DB00359,Sulfadiazine,500.0,mg/1,500.5,mg,Oral,Tablet,"['approved', 'investigational', 'vet_approved']",False,68-35-9,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,0.601,g/l
88,DB00360,Sapropterin,100.0,mg,500.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,62989-33-7,[H][C@@]1(CNC2=C(N1)C(=O)NC(N)=N2)[C@@H](O)[C@H](C)O,2.03,g/l
89,DB00363,Clozapine,12.5,mg/1,200.0,mg/1,Oral,"Tablet, orally disintegrating",['approved'],False,5786-21-0,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,0.186,g/l
91,DB00365,Grepafloxacin,200.0,mg,200.0,mg,Oral,Tablet,"['approved', 'investigational', 'withdrawn']",False,119914-60-2,CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O,0.632,g/l
92,DB00367,Levonorgestrel,0.75,mg,52.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,797-63-7,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],0.00583,g/l
93,DB00370,Mirtazapine,7.5,mg/1,45.0,mg/1,Oral,"Tablet, film coated",['approved'],False,85650-52-8,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1,1.1,g/l
94,DB00371,Meprobamate,200.0,mg/1,400.0,mg,Oral,Tablet,"['approved', 'illicit']",False,57-53-4,CCCC(C)(COC(N)=O)COC(N)=O,2.47,g/l
95,DB00348,Nitisinone,2.0,mg,20.0,mg,Oral,Capsule,"['approved', 'investigational']",False,104206-65-7,[O-][N+](=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1C(=O)CCCC1=O,0.00811,g/l
97,DB00376,Trihexyphenidyl,0.4,mg,5.0,mg/1,Oral,Elixir,['approved'],False,144-11-6,OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1,0.00314,g/l
98,DB00379,Mexiletine,100.0,mg,250.0,mg/1,Oral,Capsule,"['approved', 'investigational']",False,31828-71-4,CC(N)COC1=C(C)C=CC=C1C,0.538,g/l
99,DB00381,Amlodipine,2.5,mg/1,10.0,mg/1,Oral,Tablet,['approved'],False,88150-42-9,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,0.0074,g/l
100,DB00384,Triamterene,50.0,mg/1,100.0,mg/1,Oral,Capsule,['approved'],False,396-01-0,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,0.963,g/l
101,DB00387,Procyclidine,2.5,mg,5.0,mg,Oral,Elixir,['approved'],False,77-37-2,OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1,0.00984,g/l
102,DB00390,Digoxin,0.05,mg,0.25,mg/1,Oral,Solution,['approved'],False,20830-75-5,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,0.127,g/l
103,DB00392,Ethopropazine,50.0,mg,50.0,mg,Oral,Tablet,['approved'],False,522-00-9,CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12,0.00524,g/l
104,DB00395,Carisoprodol,250.0,mg/1,350.0,mg/1,Oral,Tablet,['approved'],False,78-44-4,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0.792,g/l
105,DB00398,Sorafenib,200.0,mg,200.0,mg,Oral,"Tablet, film coated","['approved', 'investigational']",True,284461-73-0,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,0.00171,g/l
106,DB00401,Nisoldipine,8.5,mg/1,40.0,mg/1,Oral,"Tablet, film coated, extended release",['approved'],False,63675-72-9,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C,0.00577,g/l
107,DB00402,Eszopiclone,1.0,mg/1,3.0,mg/1,Oral,"Tablet, film coated","['approved', 'investigational']",False,138729-47-2,CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1,0.885,g/l
109,DB00405,Dexbrompheniramine,1.0,mg/1,2.0,mg/1,Oral,"Tablet, chewable",['approved'],False,132-21-8,CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1,0.0127,g/l
110,DB00408,Loxapine,2.5,mg,68.0,mg,Oral,Tablet,['approved'],False,1977-10-2,CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2,0.103,g/l
111,DB00412,Rosiglitazone,2.0,mg,8.0,mg,Oral,Tablet,"['approved', 'investigational']",False,122320-73-4,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,0.038,g/l
112,DB00413,Pramipexole,0.088,mg,4.5,mg/1,Oral,Tablet,"['approved', 'investigational']",False,104632-26-0,CCCN[C@H]1CCC2=C(C1)SC(N)=N2,0.14,g/l
113,DB00414,Acetohexamide,500.0,mg,500.0,mg,Oral,Tablet,"['approved', 'investigational', 'withdrawn']",False,968-81-0,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,0.0483,g/l
114,DB00418,Secobarbital,100.0,mg,100.0,mg,Oral,Capsule,"['approved', 'vet_approved']",False,76-73-3,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,1.21,g/l
115,DB00419,Miglustat,100.0,mg/1,100.0,mg/1,Oral,Capsule,['approved'],False,72599-27-0,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,331.0,g/l
116,DB00421,Spironolactone,25.0,mg/1,100.0,mg,Oral,"Tablet, film coated",['approved'],False,52-01-7,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O,0.00198,g/l
117,DB00426,Famciclovir,125.0,mg,500.0,mg,Oral,Tablet,"['approved', 'investigational']",False,104227-87-4,CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O,1.32,g/l
118,DB00433,Prochlorperazine,5.0,mg/1,25.0,mg/1,Oral,"Tablet, film coated","['approved', 'vet_approved']",False,58-38-8,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,0.011,g/l
119,DB00434,Cyproheptadine,0.4,mg,4.0,mg/1,Oral,Syrup,['approved'],False,129-03-3,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,0.0136,g/l
120,DB00436,Bendroflumethiazide,5.0,mg,5.0,mg,Oral,Tablet,['approved'],False,73-48-3,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F,0.214,g/l
121,DB00395,Carisoprodol,250.0,mg/1,350.0,mg/1,Oral,Tablet,['approved'],False,78-44-4,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0.792,g/l
122,DB00439,Cerivastatin,0.2,mg,0.8,mg,Oral,Tablet,"['approved', 'withdrawn']",False,145599-86-6,COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C,0.00419,g/l
124,DB00451,Levothyroxine,0.025,mg/1,0.5,mg,Oral,Tablet,['approved'],False,51-48-9,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,0.00898,g/l
125,DB00455,Loratadine,1.0,mg,10.0,mg/1,Oral,Syrup,"['approved', 'investigational']",False,79794-75-5,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,0.0134,g/l
126,DB00457,Prazosin,1.0,mg,5.0,mg,Oral,Tablet,['approved'],False,19216-56-9,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1,0.693,g/l
127,DB00458,Imipramine,10.0,mg,150.0,mg/1,Oral,Tablet,['approved'],False,50-49-7,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,0.0664,g/l
128,DB00459,Acitretin,10.0,mg/1,25.0,mg/1,Oral,Capsule,['approved'],False,55079-83-9,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,0.000478,g/l
129,DB00461,Nabumetone,500.0,mg,750.0,mg,Oral,Tablet,['approved'],False,42924-53-8,COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2,0.00193,g/l
130,DB00462,Methylscopolamine bromide,2.5,mg/1,5.0,mg/1,Oral,Tablet,['approved'],False,155-41-9,[Br-].[H][C@]12C[C@@H](C[C@@]([H])(C3OC13)[N+]2(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1,0.0132,g/l
131,DB00468,Quinine,200.0,mg,324.0,mg/1,Oral,Capsule,['approved'],False,130-95-0,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12,0.334,g/l
133,DB00470,Dronabinol,2.5,mg/1,10.0,mg/1,Oral,Capsule,"['approved', 'illicit']",False,1972-08-3,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1,0.00263,g/l
