,drugbank_id,name,cas,smiles,logP ALOGPS,logP ChemAxon,solubility ALOGPS,pKa (strongest acidic),pKa (strongest basic),F,carbonyl,sulfinyl,sulfonyl,nitroso,nitro
10,DB00118,S-Adenosylmethionine,29908-03-0,C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12,-2.0,-5.3,1.19e+00 g/l,1.71,9.41,0.0,1.0,0.0,0.0,0.0,0.0
11,DB00119,Pyruvic acid,127-17-3,CC(=O)C(O)=O,-0.38,0.066,1.34e+02 g/l,2.93,-9.6,0.0,2.0,0.0,0.0,0.0,0.0
12,DB00120,L-Phenylalanine,63-91-2,N[C@@H](CC1=CC=CC=C1)C(O)=O,-1.4,-1.2,4.14e+00 g/l,2.47,9.45,0.0,1.0,0.0,0.0,0.0,0.0
13,DB00121,Biotin,58-85-5,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,0.17,0.32,1.22e+00 g/l,4.4,-1.9,0.0,2.0,0.0,0.0,0.0,0.0
14,DB00122,Choline,62-49-7,C[N+](C)(C)CCO,-3.6,-4.7,3.61e+00 g/l,13.97,-3.2,0.0,0.0,0.0,0.0,0.0,0.0
15,DB00123,L-Lysine,56-87-1,NCCCC[C@H](N)C(O)=O,-3.8,-3.2,1.05e+02 g/l,2.74,10.29,0.0,1.0,0.0,0.0,0.0,0.0
16,DB00125,L-Arginine,74-79-3,N[C@@H](CCCNC(N)=N)C(O)=O,-3.5,-3.2,2.28e+00 g/l,2.41,12.41,0.0,1.0,0.0,0.0,0.0,0.0
17,DB00126,Vitamin C,50-81-7,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,-1.6,-1.9,2.45e+02 g/l,4.36,-3.0,0.0,1.0,0.0,0.0,0.0,0.0
18,DB00128,L-Aspartic Acid,56-84-8,N[C@@H](CC(O)=O)C(O)=O,-3.5,-3.5,1.42e+02 g/l,1.7,9.61,0.0,2.0,0.0,0.0,0.0,0.0
19,DB00129,L-Ornithine,70-26-8,NCCC[C@H](N)C(O)=O,-3.6,-3.7,1.72e+02 g/l,2.67,10.29,0.0,1.0,0.0,0.0,0.0,0.0
20,DB00130,L-Glutamine,56-85-9,N[C@@H](CCC(N)=O)C(O)=O,-3.3,-4.0,9.78e+01 g/l,2.15,9.31,0.0,2.0,0.0,0.0,0.0,0.0
21,DB00131,Adenosine monophosphate,61-19-8,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,-3.1,-4.8,3.31e+00 g/l,1.23,4.97,0.0,0.0,0.0,0.0,0.0,0.0
22,DB00133,L-Serine,56-45-1,N[C@@H](CO)C(O)=O,-3.4,-3.9,4.80e+02 g/l,2.03,8.93,0.0,1.0,0.0,0.0,0.0,0.0
23,DB00134,L-Methionine,63-68-3,CSCC[C@H](N)C(O)=O,-1.9,-2.2,2.39e+01 g/l,2.53,9.5,0.0,1.0,0.0,0.0,0.0,0.0
24,DB00135,L-Tyrosine,60-18-4,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,-2.4,-1.5,7.67e+00 g/l,2.0,9.19,0.0,1.0,0.0,0.0,0.0,0.0
25,DB00136,Calcitriol,32222-06-3,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,5.51,4.35,6.67e-03 g/l,14.39,-1.3,0.0,0.0,0.0,0.0,0.0,0.0
26,DB00137,Xanthophyll,127-40-2,C\C(\C=C\C=C(/C)\C=C\C1C(C)=CC(O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CC(O)CC1(C)C,8.29,8.55,7.32e-04 g/l,18.22,-0.91,0.0,0.0,0.0,0.0,0.0,0.0
27,DB00138,L-Cystine,56-89-3,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,-3.2,-5.9,1.68e+01 g/l,1.56,9.34,0.0,2.0,0.0,0.0,0.0,0.0
28,DB00140,Riboflavin,83-88-5,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,-1.1,-0.92,6.57e-01 g/l,6.97,0.76,0.0,2.0,0.0,0.0,0.0,0.0
29,DB00141,N-Acetyl-D-glucosamine,7512-17-6,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,-2.1,-3.9,1.48e+02 g/l,11.56,-1.2,0.0,2.0,0.0,0.0,0.0,0.0
30,DB00142,L-Glutamic Acid,56-86-0,N[C@@H](CCC(O)=O)C(O)=O,-3.5,-3.2,8.06e+01 g/l,1.88,9.54,0.0,2.0,0.0,0.0,0.0,0.0
31,DB00143,Glutathione,70-18-8,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,-2.7,-4.9,8.79e-01 g/l,1.94,9.22,0.0,4.0,0.0,0.0,0.0,0.0
32,DB00144,Phosphatidylserine,8002-43-5,CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O,-1.0,-1.6,3.70e+00 g/l,1.47,9.38,0.0,3.0,0.0,0.0,0.0,0.0
33,DB00145,Glycine,56-40-6,NCC(O)=O,-3.3,-3.4,5.52e+02 g/l,2.31,9.24,0.0,1.0,0.0,0.0,0.0,0.0
34,DB00146,Calcidiol,19356-17-3,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,6.71,5.65,2.20e-03 g/l,18.38,-0.98,0.0,0.0,0.0,0.0,0.0,0.0
35,DB00147,Pyridoxal,65-22-5,CC1=NC=C(CO)C(C=O)=C1O,0.02,0.18,1.17e+01 g/l,7.97,4.11,0.0,1.0,0.0,0.0,0.0,0.0
36,DB00148,Creatine,57-00-1,CN(CC(O)=O)C(N)=N,-1.6,-2.9,4.11e+00 g/l,3.5,12.43,0.0,1.0,0.0,0.0,0.0,0.0
37,DB00149,L-Leucine,61-90-5,CC(C)C[C@H](N)C(O)=O,-1.8,-1.6,6.98e+01 g/l,2.79,9.52,0.0,1.0,0.0,0.0,0.0,0.0
38,DB00150,L-Tryptophan,73-22-3,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,-1.1,-1.1,1.36e+00 g/l,2.54,9.4,0.0,1.0,0.0,0.0,0.0,0.0
39,DB00151,L-Cysteine,52-90-4,N[C@@H](CS)C(O)=O,-2.6,-2.8,2.31e+01 g/l,2.35,9.05,0.0,1.0,0.0,0.0,0.0,0.0
40,DB00152,Thiamine,59-43-8,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,-2.1,-3.1,1.53e-02 g/l,15.5,5.54,0.0,0.0,0.0,0.0,0.0,0.0
41,DB00153,Ergocalciferol,50-14-6,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,7.59,7.05,4.33e-04 g/l,18.38,-1.3,0.0,0.0,0.0,0.0,0.0,0.0
42,DB00155,L-Citrulline,372-75-8,N[C@@H](CCCNC(N)=O)C(O)=O,-3.3,-3.9,2.18e+01 g/l,2.27,9.23,0.0,2.0,0.0,0.0,0.0,0.0
43,DB00156,L-Threonine,72-19-5,C[C@@H](O)[C@H](N)C(O)=O,-3.0,-3.5,4.77e+02 g/l,2.21,9.0,0.0,1.0,0.0,0.0,0.0,0.0
44,DB00157,NADH,606-68-8,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,-1.4,-6.5,2.95e+00 g/l,-7.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
45,DB00158,Folic Acid,59-30-3,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,-0.04,-0.68,7.61e-02 g/l,3.37,2.09,0.0,4.0,0.0,0.0,0.0,0.0
46,DB00160,L-Alanine,56-41-7,C[C@H](N)C(O)=O,-3.0,-2.8,4.47e+02 g/l,2.47,9.48,0.0,1.0,0.0,0.0,0.0,0.0
47,DB00161,L-Valine,72-18-4,CC(C)[C@H](N)C(O)=O,-2.3,-2.0,2.14e+02 g/l,2.72,9.6,0.0,1.0,0.0,0.0,0.0,0.0
48,DB00162,Vitamin A,68-26-8,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,6.38,4.69,7.58e-03 g/l,16.44,-2.2,0.0,0.0,0.0,0.0,0.0,0.0
49,DB00163,Vitamin E,59-02-9,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,8.84,10.51,7.04e-06 g/l,10.8,-4.9,0.0,0.0,0.0,0.0,0.0,0.0
50,DB00165,Pyridoxine,65-23-6,CC1=C(O)C(CO)=C(CO)C=N1,-0.57,-0.95,1.61e+01 g/l,9.4,5.58,0.0,0.0,0.0,0.0,0.0,0.0
51,DB00167,L-Isoleucine,73-32-5,CC[C@H](C)[C@H](N)C(O)=O,-1.7,-1.5,1.14e+02 g/l,2.79,9.59,0.0,1.0,0.0,0.0,0.0,0.0
52,DB00168,Aspartame,22839-47-0,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,-1.2,-2.2,6.52e-01 g/l,3.53,8.53,0.0,3.0,0.0,0.0,0.0,0.0
53,DB00169,Cholecalciferol,67-97-0,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,7.98,7.13,3.80e-04 g/l,18.38,-1.3,0.0,0.0,0.0,0.0,0.0,0.0
54,DB00170,Menadione,58-27-5,CC1=CC(=O)C2=CC=CC=C2C1=O,1.91,1.89,5.04e-01 g/l,12.94,-7.2,0.0,2.0,0.0,0.0,0.0,0.0
55,DB00171,Adenosine triphosphate,56-65-5,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,-0.84,-6.0,4.49e+00 g/l,0.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0
56,DB00172,L-Proline,147-85-3,OC(=O)[C@@H]1CCCN1,-2.7,-2.6,3.65e+02 g/l,1.94,11.33,0.0,1.0,0.0,0.0,0.0,0.0
57,DB00173,Adenine,73-24-5,NC1=C2NC=NC2=NC=N1,-0.38,-0.57,1.15e+01 g/l,10.29,5.32,0.0,0.0,0.0,0.0,0.0,0.0
58,DB00174,L-Asparagine,70-47-3,N[C@@H](CC(N)=O)C(O)=O,-3.4,-4.3,1.68e+02 g/l,2.0,8.43,0.0,2.0,0.0,0.0,0.0,0.0
59,DB00175,Pravastatin,81093-37-0,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,2.23,1.65,2.42e-01 g/l,4.21,-2.7,0.0,2.0,0.0,0.0,0.0,0.0
60,DB00177,Valsartan,137862-53-4,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,3.68,5.27,2.34e-02 g/l,4.37,-0.11,0.0,2.0,0.0,0.0,0.0,0.0
61,DB00178,Ramipril,87333-19-5,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,0.92,1.47,3.90e-02 g/l,3.75,5.2,0.0,3.0,0.0,0.0,0.0,0.0
62,DB00179,Masoprocol,27686-84-6,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,3.44,4.76,1.36e-02 g/l,9.21,-6.3,0.0,0.0,0.0,0.0,0.0,0.0
63,DB00180,Flunisolide,3385-03-3,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,2.2,1.56,3.74e-02 g/l,13.73,-2.9,1.0,2.0,0.0,0.0,0.0,0.0
64,DB00181,Baclofen,1134-47-0,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,-0.82,-0.78,7.12e-01 g/l,3.89,9.79,0.0,1.0,0.0,0.0,0.0,0.0
65,DB00186,Lorazepam,846-49-1,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,2.98,3.53,1.76e-02 g/l,10.61,-2.2,0.0,1.0,0.0,0.0,0.0,0.0
66,DB00187,Esmolol,103598-03-4,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,2.02,1.82,1.44e-01 g/l,14.09,9.67,0.0,1.0,0.0,0.0,0.0,0.0
67,DB00188,Bortezomib,179324-69-7,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,0.89,1.53,5.32e-02 g/l,13.04,-0.7,0.0,2.0,0.0,0.0,0.0,0.0
68,DB00189,Ethchlorvynol,113-18-8,[H]C(Cl)=CC(O)(CC)C#C,1.45,1.62,1.43e-01 g/l,12.88,-3.7,0.0,0.0,0.0,0.0,0.0,0.0
69,DB00192,Indecainide,74517-78-5,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,3.24,3.26,8.96e-04 g/l,16.51,10.4,0.0,1.0,0.0,0.0,0.0,0.0
70,DB00193,Tramadol,27203-92-5,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,2.71,2.45,7.50e-01 g/l,13.8,9.23,0.0,0.0,0.0,0.0,0.0,0.0
71,DB00194,Vidarabine,24356-66-9,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,-1.2,-2.1,1.40e+01 g/l,12.45,4.99,0.0,0.0,0.0,0.0,0.0,0.0
72,DB00195,Betaxolol,63659-18-7,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,3.0,2.54,2.98e-02 g/l,14.09,9.67,0.0,0.0,0.0,0.0,0.0,0.0
73,DB00196,Fluconazole,86386-73-4,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,0.58,0.56,1.39e+00 g/l,12.71,2.56,2.0,0.0,0.0,0.0,0.0,0.0
74,DB00197,Troglitazone,97322-87-7,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,4.16,5.5,1.21e-03 g/l,6.61,-4.6,0.0,2.0,0.0,0.0,0.0,0.0
75,DB00198,Oseltamivir,204255-11-8,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,1.3,1.16,6.86e-01 g/l,14.03,9.31,0.0,2.0,0.0,0.0,0.0,0.0
76,DB00199,Erythromycin,114-07-8,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,2.37,2.6,4.59e-01 g/l,12.44,8.38,0.0,2.0,0.0,0.0,0.0,0.0
77,DB00203,Sildenafil,139755-83-2,CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1,2.35,1.65,4.33e-01 g/l,7.27,5.97,0.0,1.0,0.0,1.0,0.0,0.0
78,DB00204,Dofetilide,115256-11-6,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,2.17,0.24,1.98e-02 g/l,10.15,8.99,0.0,0.0,0.0,2.0,0.0,0.0
79,DB00205,Pyrimethamine,58-14-0,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,2.62,2.75,1.79e-01 g/l,17.22,7.77,0.0,0.0,0.0,0.0,0.0,0.0
80,DB00206,Reserpine,50-55-5,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,4.05,3.53,1.13e-02 g/l,16.29,7.56,0.0,2.0,0.0,0.0,0.0,0.0
81,DB00207,Azithromycin,83905-01-5,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,3.03,2.44,5.14e-01 g/l,12.43,9.57,0.0,1.0,0.0,0.0,0.0,0.0
82,DB00209,Trospium,10405-02-4,OC(C(=O)OC1CC2CCC(C1)[N+]21CCCC1)(C1=CC=CC=C1)C1=CC=CC=C1,2.86,-0.5,6.68e-05 g/l,11.05,-4.5,0.0,1.0,0.0,0.0,0.0,0.0
83,DB00210,Adapalene,106685-40-9,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,6.06,6.46,4.01e-06 g/l,3.99,-4.8,0.0,1.0,0.0,0.0,0.0,0.0
84,DB00211,Midodrine,133163-28-7,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,-0.49,-0.95,4.45e+00 g/l,13.77,8.14,0.0,1.0,0.0,0.0,0.0,0.0
85,DB00212,Remikiren,126222-34-2,CC(C)(C)S(=O)(=O)C[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@H](CC1CCCCC1)[C@H](O)[C@H](O)C1CC1,2.42,2.37,2.13e-02 g/l,12.32,6.74,0.0,2.0,0.0,1.0,0.0,0.0
86,DB00213,Pantoprazole,102625-70-7,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,2.11,2.18,4.95e-01 g/l,9.15,3.55,2.0,0.0,2.0,0.0,0.0,0.0
87,DB00214,Torasemide,56211-40-6,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,1.76,1.86,5.96e-02 g/l,5.92,4.2,0.0,1.0,0.0,1.0,0.0,0.0
88,DB00216,Eletriptan,143322-58-1,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,3.84,3.77,1.18e-03 g/l,17.11,8.37,0.0,0.0,0.0,1.0,0.0,0.0
89,DB00218,Moxifloxacin,354812-41-2,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,0.01,-0.5,1.68e-01 g/l,5.69,9.42,1.0,2.0,0.0,0.0,0.0,0.0
90,DB00219,Oxyphenonium,50-10-2,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,0.2,-0.2,1.36e-04 g/l,11.53,-4.3,0.0,1.0,0.0,0.0,0.0,0.0
91,DB00220,Nelfinavir,159989-64-7,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,4.61,4.72,1.91e-03 g/l,9.32,8.18,0.0,2.0,0.0,0.0,0.0,0.0
92,DB00221,Isoetarine,530-08-5,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,0.63,1.05,3.18e+00 g/l,10.01,9.01,0.0,0.0,0.0,0.0,0.0,0.0
93,DB00222,Glimepiride,93479-97-1,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC2CCC(C)CC2)C1=O,2.82,3.12,3.84e-02 g/l,4.32,-3.7,0.0,3.0,0.0,1.0,0.0,0.0
94,DB00223,Diflorasone,2557-49-5,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,1.91,1.34,8.53e-02 g/l,12.42,-3.3,2.0,2.0,0.0,0.0,0.0,0.0
95,DB00224,Indinavir,150378-17-9,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,3.26,2.81,4.82e-02 g/l,13.19,7.37,0.0,2.0,0.0,0.0,0.0,0.0
96,DB00226,Guanadrel,22195-34-2,NC(N)=NCC1COC2(CCCCC2)O1,0.03,0.62,1.93e+00 g/l,19.85,12.56,0.0,0.0,0.0,0.0,0.0,0.0
97,DB00227,Lovastatin,75330-75-5,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,4.11,3.9,2.43e-02 g/l,14.91,-2.8,0.0,2.0,0.0,0.0,0.0,0.0
98,DB00229,Cefotiam,61622-34-2,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,-0.33,-3.1,1.29e+00 g/l,2.79,8.36,0.0,3.0,0.0,0.0,0.0,0.0
99,DB00230,Pregabalin,148553-50-8,CC(C)C[C@H](CN)CC(O)=O,-1.4,-1.3,1.13e+01 g/l,4.8,10.23,0.0,1.0,0.0,0.0,0.0,0.0
100,DB00231,Temazepam,846-50-4,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,2.16,2.79,5.34e-02 g/l,10.68,-1.4,0.0,1.0,0.0,0.0,0.0,0.0
101,DB00232,Methyclothiazide,135-07-9,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,0.93,0.53,8.24e-01 g/l,9.29,-3.4,0.0,0.0,0.0,2.0,0.0,0.0
102,DB00233,Aminosalicylic Acid,65-49-6,NC1=CC(O)=C(C=C1)C(O)=O,0.62,0.83,1.18e+01 g/l,3.68,2.19,0.0,1.0,0.0,0.0,0.0,0.0
